,date,close,code,ind_code
20,2023-02-07,6234.0,V,2
21,2023-02-08,6236.0,V,2
22,2023-02-09,6264.0,V,2
23,2023-02-10,6261.0,V,2
24,2023-02-13,6205.0,V,2
25,2023-02-14,6282.0,V,2
26,2023-02-15,6241.0,V,2
27,2023-02-16,6341.0,V,2
28,2023-02-17,6346.0,V,2
29,2023-02-20,6404.0,V,2
30,2023-02-21,6478.0,V,2
31,2023-02-22,6445.0,V,2
32,2023-02-23,6465.0,V,2
33,2023-02-24,6512.0,V,2
34,2023-02-27,6432.0,V,2
35,2023-02-28,6380.0,V,2
36,2023-03-01,6385.0,V,2
37,2023-03-02,6394.0,V,2
38,2023-03-03,6442.0,V,2
39,2023-03-06,6416.0,V,2
40,2023-03-07,6461.0,V,2
41,2023-03-08,6459.0,V,2
42,2023-03-09,6337.0,V,2
43,2023-03-10,6305.0,V,2
44,2023-03-13,6385.0,V,2
45,2023-03-14,6339.0,V,2
46,2023-03-15,6282.0,V,2
47,2023-03-16,6142.0,V,2
48,2023-03-17,6178.0,V,2
49,2023-03-20,6140.0,V,2
50,2023-03-21,6130.0,V,2
51,2023-03-22,6150.0,V,2
52,2023-03-23,6056.0,V,2
53,2023-03-24,6138.0,V,2
54,2023-03-27,6191.0,V,2
55,2023-03-28,6253.0,V,2
56,2023-03-29,6266.0,V,2
57,2023-03-30,6258.0,V,2
58,2023-03-31,6273.0,V,2
59,2023-04-03,6250.0,V,2
60,2023-04-04,6202.0,V,2
61,2023-04-06,6164.0,V,2
62,2023-04-07,6235.0,V,2
63,2023-04-10,6174.0,V,2
64,2023-04-11,6189.0,V,2
65,2023-04-12,6112.0,V,2
66,2023-04-13,6035.0,V,2
67,2023-04-14,6029.0,V,2
68,2023-04-17,6088.0,V,2
69,2023-04-18,6176.0,V,2
70,2023-04-19,6194.0,V,2
71,2023-04-20,6192.0,V,2
72,2023-04-21,6200.0,V,2
73,2023-04-24,6107.0,V,2
74,2023-04-25,6086.0,V,2
75,2023-04-26,6047.0,V,2
76,2023-04-27,5982.0,V,2
77,2023-04-28,5999.0,V,2
78,2023-05-04,5957.0,V,2
79,2023-05-05,5898.0,V,2
80,2023-05-08,5967.0,V,2
81,2023-05-09,5929.0,V,2
82,2023-05-10,5870.0,V,2
83,2023-05-11,5825.0,V,2
84,2023-05-12,5799.0,V,2
85,2023-05-15,5853.0,V,2
86,2023-05-16,5821.0,V,2
87,2023-05-17,5842.0,V,2
88,2023-05-18,5882.0,V,2
89,2023-05-19,5747.0,V,2
90,2023-05-22,5651.0,V,2
91,2023-05-23,5657.0,V,2
92,2023-05-24,5604.0,V,2
93,2023-05-25,5670.0,V,2
94,2023-05-26,5726.0,V,2
95,2023-05-29,5708.0,V,2
96,2023-05-30,5656.0,V,2
97,2023-05-31,5643.0,V,2
98,2023-06-01,5743.0,V,2
99,2023-06-02,5808.0,V,2
100,2023-06-05,5655.0,V,2
101,2023-06-06,5685.0,V,2
102,2023-06-07,5601.0,V,2
103,2023-06-08,5606.0,V,2
104,2023-06-09,5636.0,V,2
105,2023-06-12,5604.0,V,2
106,2023-06-13,5626.0,V,2
107,2023-06-14,5684.0,V,2
108,2023-06-15,5665.0,V,2
109,2023-06-16,5744.0,V,2
110,2023-06-19,5735.0,V,2
111,2023-06-20,5734.0,V,2
112,2023-06-21,5748.0,V,2
113,2023-06-26,5649.0,V,2
114,2023-06-27,5692.0,V,2
115,2023-06-28,5688.0,V,2
116,2023-06-29,5739.0,V,2
117,2023-06-30,5769.0,V,2
118,2023-07-03,5760.0,V,2
119,2023-07-04,5746.0,V,2
120,2023-07-05,,V,2
0,2023-01-03,7204.0,PF,2
1,2023-01-04,7108.0,PF,2
2,2023-01-05,6974.0,PF,2
3,2023-01-06,6990.0,PF,2
4,2023-01-09,6950.0,PF,2
5,2023-01-10,6954.0,PF,2
6,2023-01-11,6996.0,PF,2
7,2023-01-12,7150.0,PF,2
8,2023-01-13,7274.0,PF,2
9,2023-01-16,7292.0,PF,2
10,2023-01-17,7374.0,PF,2
11,2023-01-18,7524.0,PF,2
12,2023-01-19,7522.0,PF,2
13,2023-01-20,7712.0,PF,2
14,2023-01-30,7588.0,PF,2
15,2023-01-31,7516.0,PF,2
16,2023-02-01,7550.0,PF,2
17,2023-02-02,7390.0,PF,2
18,2023-02-03,7394.0,PF,2
19,2023-02-06,7368.0,PF,2
20,2023-02-07,7402.0,PF,2
21,2023-02-08,7312.0,PF,2
22,2023-02-09,7328.0,PF,2
23,2023-02-10,7178.0,PF,2
24,2023-02-13,7122.0,PF,2
25,2023-02-14,7120.0,PF,2
26,2023-02-15,7132.0,PF,2
27,2023-02-16,7192.0,PF,2
28,2023-02-17,7126.0,PF,2
29,2023-02-20,7146.0,PF,2
30,2023-02-21,7262.0,PF,2
31,2023-02-22,7266.0,PF,2
32,2023-02-23,7264.0,PF,2
33,2023-02-24,7316.0,PF,2
34,2023-02-27,7226.0,PF,2
35,2023-02-28,7268.0,PF,2
36,2023-03-01,7372.0,PF,2
37,2023-03-02,7392.0,PF,2
38,2023-03-03,7414.0,PF,2
39,2023-03-06,7408.0,PF,2
40,2023-03-07,7428.0,PF,2
41,2023-03-08,7394.0,PF,2
42,2023-03-09,7330.0,PF,2
43,2023-03-10,7256.0,PF,2
44,2023-03-13,7292.0,PF,2
45,2023-03-14,7108.0,PF,2
46,2023-03-15,7112.0,PF,2
47,2023-03-16,6964.0,PF,2
48,2023-03-17,7028.0,PF,2
49,2023-03-20,7090.0,PF,2
50,2023-03-21,7076.0,PF,2
51,2023-03-22,7096.0,PF,2
52,2023-03-23,7158.0,PF,2
53,2023-03-24,7304.0,PF,2
54,2023-03-27,7370.0,PF,2
55,2023-03-28,7446.0,PF,2
56,2023-03-29,7468.0,PF,2
57,2023-03-30,7470.0,PF,2
58,2023-03-31,7466.0,PF,2
59,2023-04-03,7546.0,PF,2
60,2023-04-04,7638.0,PF,2
