,underlying_symbol_y,settle_price_m,delisted_date_x,settle_price_sm,delisted_date_y,date,price_div_log,date_minus,factor
SHFE.SN,SHFE.SN,136210.0,2020-08-17 00:00:00+08:00,136930.0,2020-07-15 00:00:00+08:00,2020-06-15,-0.005272033884892041,33.0,-0.05751309692609499
SHFE.SP,SHFE.SP,4374.0,2020-09-15 00:00:00+08:00,4510.0,2021-01-15 00:00:00+08:00,2020-06-15,-0.030619231260010878,122.0,-0.09035182994757307
SHFE.SS,SHFE.SS,12710.0,2020-08-17 00:00:00+08:00,12660.0,2020-09-15 00:00:00+08:00,2020-06-15,0.003941668485332465,29.0,0.048931057059299565
SHFE.WR,SHFE.WR,3940.0,2020-10-15 00:00:00+08:00,3915.0,2021-01-15 00:00:00+08:00,2020-06-15,0.006365393867075931,92.0,0.024908062958123204
SHFE.ZN,SHFE.ZN,16345.0,2020-07-15 00:00:00+08:00,16285.0,2020-08-17 00:00:00+08:00,2020-06-15,0.00367760144797708,33.0,0.04011928852338632
CZCE.AP,CZCE.AP,8282.0,2020-10-22 00:00:00+08:00,8272.0,2021-01-15 00:00:00+08:00,2020-06-16,0.0012081673573020979,85.0,0.005116944101514768
CZCE.CF,CZCE.CF,11795.0,2020-09-14 00:00:00+08:00,12325.0,2021-01-15 00:00:00+08:00,2020-06-16,-0.04395400706911548,123.0,-0.12864587434863067
CZCE.CJ,CZCE.CJ,10045.0,2020-09-14 00:00:00+08:00,10470.0,2021-01-15 00:00:00+08:00,2020-06-16,-0.04143902661554774,123.0,-0.1212849559479446
CZCE.CY,CZCE.CY,19135.0,2020-09-14 00:00:00+08:00,20125.0,2021-01-15 00:00:00+08:00,2020-06-16,-0.05044370442696153,123.0,-0.14764011051793619
CZCE.FG,CZCE.FG,1453.0,2020-09-14 00:00:00+08:00,1410.0,2021-01-15 00:00:00+08:00,2020-06-16,0.030040680198069037,123.0,0.0879239420431289
CZCE.JR,CZCE.JR,2776.0,2020-07-14 00:00:00+08:00,2803.0,2020-09-14 00:00:00+08:00,2020-06-16,-0.009679229538093186,62.0,-0.05620197796312172
CZCE.LR,CZCE.LR,2655.0,2020-07-14 00:00:00+08:00,,,2020-06-16,,,
CZCE.MA,CZCE.MA,1706.0,2020-09-14 00:00:00+08:00,1857.0,2021-01-15 00:00:00+08:00,2020-06-16,-0.08481083330108131,123.0,-0.24822682917389655
CZCE.OI,CZCE.OI,7392.0,2020-09-14 00:00:00+08:00,7042.0,2021-01-15 00:00:00+08:00,2020-06-16,0.04850611360652234,123.0,0.14196911299469955
CZCE.PM,CZCE.PM,2181.0,2020-07-14 00:00:00+08:00,2245.0,2020-09-14 00:00:00+08:00,2020-06-16,-0.028922033974725616,62.0,-0.16793439082098746
CZCE.RI,CZCE.RI,2568.0,2020-09-14 00:00:00+08:00,2611.0,2020-07-14 00:00:00+08:00,2020-06-16,-0.016605903889277098,62.0,-0.09642137742160896
CZCE.RM,CZCE.RM,2332.0,2020-09-14 00:00:00+08:00,2279.0,2021-01-15 00:00:00+08:00,2020-06-16,0.02298951822469878,123.0,0.06728639480399644
CZCE.RS,CZCE.RS,4684.0,2020-09-14 00:00:00+08:00,4707.0,2020-08-14 00:00:00+08:00,2020-06-16,-0.004898316683534354,31.0,-0.05688367761523766
CZCE.SA,CZCE.SA,1446.0,2020-09-14 00:00:00+08:00,1535.0,2021-01-15 00:00:00+08:00,2020-06-16,-0.05972925730258751,123.0,-0.1748173384465976
CZCE.SF,CZCE.SF,5886.0,2020-08-14 00:00:00+08:00,5738.0,2020-09-14 00:00:00+08:00,2020-06-16,0.025465932252107908,31.0,0.2957334067986725
