,roll_yield,near_by,deferred,date
C,-0.04904073240826566,c1305,c1309,2013-01-23
CU,-0.044974498982008476,CU1304,CU1305,2013-01-23
RO,-0.044457998539594375,RO303,RO305,2013-01-23
B,-0.043768208206091314,b1305,b1309,2013-01-23
Y,-0.03067162920231723,y1305,y1309,2013-01-23
RB,-0.01652330106599336,RB1305,RB1310,2013-01-23
SR,-0.01109468720127152,SR305,SR309,2013-01-23
AU,-0.009028054335695382,AU1306,AU1312,2013-01-23
RU,-0.006318815165159693,RU1305,RU1309,2013-01-23
A,0.008699260445317413,a1305,a1309,2013-01-23
OI,0.020445058083353437,OI309,OI401,2013-01-23
CF,0.021374136216375166,CF305,CF309,2013-01-23
L,0.02798527756390562,l1305,l1309,2013-01-23
TA,0.04431817550763293,TA305,TA309,2013-01-23
M,0.12585513499353873,m1305,m1309,2013-01-23
RS,0.1747318137905023,RS309,RS311,2013-01-23
RM,0.21192912558373594,RM305,RM311,2013-01-23
FU,-0.2664980506304214,FU1303,FU1305,2013-01-24
FG,-0.15152722266053742,FG305,FG309,2013-01-24
WH,-0.1319752223464285,WH307,WH309,2013-01-24
P,-0.13017036787789546,p1305,p1309,2013-01-24
WR,-0.10699603356861458,WR1302,WR1305,2013-01-24
PB,-0.09498730335193303,PB1302,PB1303,2013-01-24
J,-0.09031577235696558,j1305,j1309,2013-01-24
AG,-0.08386354718739444,AG1302,AG1306,2013-01-24
AL,-0.08301795588198249,AL1303,AL1304,2013-01-24
ZN,-0.08117280106250475,ZN1304,ZN1305,2013-01-24
V,-0.07994551532922069,v1305,v1309,2013-01-24
ME,-0.06418991698064366,ME305,ME309,2013-01-24
IF,-0.060988888405693456,IF1302,IF1303,2013-01-24
C,-0.04557673370212143,c1305,c1309,2013-01-24
CU,-0.0410046529173361,CU1304,CU1305,2013-01-24
B,-0.03871854130683277,b1305,b1309,2013-01-24
RI,-0.029205206312257898,RI309,RI401,2013-01-24
Y,-0.022181247074814794,y1305,y1309,2013-01-24
RB,-0.01897243081707179,RB1305,RB1310,2013-01-24
RU,-0.013425452895237796,RU1305,RU1309,2013-01-24
SR,-0.011059920360656554,SR305,SR309,2013-01-24
AU,-0.01056520325789789,AU1306,AU1312,2013-01-24
L,0.01969064734201169,l1305,l1309,2013-01-24
A,0.021868263029595134,a1305,a1309,2013-01-24
OI,0.0237540577151335,OI309,OI401,2013-01-24
CF,0.02894892955737842,CF305,CF309,2013-01-24
WS,0.0472443385854352,WS303,WS305,2013-01-24
TA,0.048457110514197335,TA305,TA309,2013-01-24
M,0.12868893119537939,m1305,m1309,2013-01-24
RS,0.12920786419090183,RS309,RS311,2013-01-24
RM,0.14925997021782533,RM305,RM309,2013-01-24
FU,-0.188849908124061,FU1303,FU1305,2013-01-25
FG,-0.1532671589204697,FG305,FG309,2013-01-25
P,-0.1309489223593388,p1305,p1309,2013-01-25
WH,-0.12280791727810961,WH307,WH309,2013-01-25
PB,-0.09350696664198986,PB1303,PB1304,2013-01-25
ZN,-0.09174941159319916,ZN1304,ZN1305,2013-01-25
AG,-0.08611702410596121,AG1302,AG1306,2013-01-25
J,-0.08219692256434304,j1305,j1309,2013-01-25
AL,-0.07907771614866699,AL1303,AL1304,2013-01-25
V,-0.07746649523939197,v1305,v1309,2013-01-25
IF,-0.06277903224531652,IF1302,IF1303,2013-01-25
ME,-0.05284689499165411,ME305,ME309,2013-01-25
C,-0.05042135494914357,c1305,c1309,2013-01-25
B,-0.04847676307332905,b1305,b1309,2013-01-25
CU,-0.0388184555756228,CU1304,CU1305,2013-01-25
RI,-0.03237441489829316,RI309,RI401,2013-01-25
Y,-0.029679294176283715,y1305,y1309,2013-01-25
RB,-0.023437686267179673,RB1305,RB1310,2013-01-25
SR,-0.01834868105230828,SR305,SR309,2013-01-25
RU,-0.01696737823750632,RU1305,RU1309,2013-01-25
AU,-0.011025127614594305,AU1306,AU1312,2013-01-25
WS,-0.004741209255005483,WS303,WS305,2013-01-25
L,0.015402600928823083,l1305,l1309,2013-01-25
WR,0.017973053878790224,WR1303,WR1305,2013-01-25
OI,0.021210067138729423,OI309,OI401,2013-01-25
CF,0.02501593775027543,CF305,CF309,2013-01-25
A,0.02869641343899658,a1305,a1309,2013-01-25
TA,0.05386395582047971,TA305,TA309,2013-01-25
